transaction_id,customer_name,category,price,quantity,rating,country,created_date
TXN-0003038,James Taylor,Automotive,1380.6,8,4.6,Japan,2023-02-05 21:24:52
TXN-0007593,,Books,534.36,6,1.3,France,2023-06-24 06:46:40
TXN-0011322,Joseph Thompson,Books,1295.26,2,3.6,Brazil,2024-09-01 11:35:42
TXN-0009501,David Thompson,Books,1174.52,6,3.0,United Kingdom,
TXN-0004464,John Thompson,Toys & Games,1498.35,6,2.3,Canada,21/06/2023
TXN-0007969,Robert Lee,Automotive,366.87,4,4.8,France,2024-07-08 12:51:38
TXN-0000263,Patricia Jones,Home & Kitchen,649.31,7,1.4,U.K.,2023-03-11 14:36:58
TXN-0000394,Christopher White,Books,"1,041.82",6,2.2,Germany,2023-03-21 18:37:12
TXN-0010989,Charles Gonzalez,Apparel,546.36,5,4.0,ca,2023-01-27 03:02:18
TXN-0008553,Charles Thompson,Sports & Outdoors,1196.17,2,3.9,United States,2024-04-25 03:02:00
TXN-0000818,Joseph Hernandez,Books,850.57,4,2.4,Netherlands,2023-08-10 00:07:33
TXN-0009710,Linda Martin,Toys & Games,1135.66,3,2.5,Germany,15-Mar-2024
TXN-0012191,Lisa Lopez,Home & Kitchen,1225.71,7,4.0,Canada,2023-09-16 01:20:15
TXN-0003704,Michael Lopez,Books,323.27,2,-1.0,United States,2024-03-07 04:03:26
TXN-0004625,Lisa Williams,Apparel,621.82,5,4.4,Japan,2024-05-09 12:53:25
TXN-0006175,Christopher White,Automotive,729.77,6,1.6,great britain,2024-06-17 19:11:36
TXN-0000839,Thomas Miller,Apparel,812.96,3,4.1,Australia,2024-02-22 12:23:25
TXN-0002989,Mary Brown,Toys & Games,1256.5,NULL,4.0,Germany,2023-09-12 04:57:37
TXN-0006069,Barbara Williams,Automotive,1377.17,2,1.3,United Kingdom,2023-04-14 16:20:48
TXN-0011988,Richard Williams,Apparel,626.87,2,None,Japan,2023-06-23 08:26:03
