transaction_id,customer_name,category,price,quantity,total_amount,rating,country,created_date
TXN-0003038,James Taylor,Automotive,1380.6,8,11044.8,4.6,Japan,2023-02-05 21:24:52
TXN-0011322,Joseph Thompson,Books,1295.26,2,2590.52,3.6,Brazil,2024-09-01 11:35:42
TXN-0004464,John Thompson,Toys & Games,1498.35,6,8990.1,2.3,Canada,2023-06-21 00:00:00
TXN-0007969,Robert Lee,Automotive,366.87,4,1467.48,4.8,France,2024-07-08 12:51:38
TXN-0000263,Patricia Jones,Home & Kitchen,649.31,7,4545.17,1.4,United Kingdom,2023-03-11 14:36:58
TXN-0000394,Christopher White,Books,1041.82,6,6250.92,2.2,Germany,2023-03-21 18:37:12
TXN-0010989,Charles Gonzalez,Apparel,546.36,5,2731.8,4.0,Canada,2023-01-27 03:02:18
TXN-0008553,Charles Thompson,Sports & Outdoors,1196.17,2,2392.34,3.9,United States,2024-04-25 03:02:00
TXN-0000818,Joseph Hernandez,Books,850.57,4,3402.28,2.4,Netherlands,2023-08-10 00:07:33
TXN-0009710,Linda Martin,Toys & Games,1135.66,3,3406.98,2.5,Germany,2024-03-15 00:00:00
TXN-0012191,Lisa Lopez,Home & Kitchen,1225.71,7,8579.97,4.0,Canada,2023-09-16 01:20:15
TXN-0004625,Lisa Williams,Apparel,621.82,5,3109.1,4.4,Japan,2024-05-09 12:53:25
TXN-0006175,Christopher White,Automotive,729.77,6,4378.62,1.6,United Kingdom,2024-06-17 19:11:36
TXN-0000839,Thomas Miller,Apparel,812.96,3,2438.88,4.1,Australia,2024-02-22 12:23:25
TXN-0006069,Barbara Williams,Automotive,1377.17,2,2754.34,1.3,United Kingdom,2023-04-14 16:20:48
TXN-0001980,Christopher Perez,Sports & Outdoors,952.41,6,5714.46,1.1,India,2023-08-08 00:00:00
TXN-0006453,Daniel Williams,Toys & Games,395.15,3,1185.45,3.2,Japan,2023-01-03 20:19:38
TXN-0002768,James Hernandez,Home & Kitchen,41.01,6,246.06,2.1,Netherlands,2024-10-01 00:00:00
TXN-0006147,Thomas Gonzalez,Books,1405.35,2,2810.7,2.0,United Kingdom,2023-06-26 03:24:57
TXN-0000552,Joseph Johnson,Books,1029.61,3,3088.83,4.0,Germany,2024-10-24 00:00:00
TXN-0000693,Mary Jones,Home & Kitchen,42.07,4,168.28,2.8,France,2023-03-13 19:58:23
TXN-0000779,John Smith,Books,585.81,7,4100.67,2.1,United Kingdom,2024-08-07 12:42:30
TXN-0005610,Robert Perez,Toys & Games,270.09,5,1350.45,3.0,Japan,2023-11-29 19:16:13
TXN-0011059,Charles Jones,Apparel,679.84,6,4079.04,3.6,United States,2023-10-15 09:53:29
TXN-0000986,Daniel Wilson,Beauty & Personal Care,1491.36,1,1491.36,3.4,Germany,2023-05-11 21:40:13
TXN-0008024,Richard Rodriguez,Beauty & Personal Care,1469.52,5,7347.6,4.1,Brazil,2024-09-14 07:01:44
TXN-0003408,David Perez,Automotive,1469.86,4,5879.44,2.0,United States,2024-08-29 12:53:25
TXN-0001745,Charles Thompson,Home & Kitchen,432.22,3,1296.66,4.7,France,2024-07-09 02:05:35
TXN-0006030,Jessica Jackson,Apparel,1199.85,5,5999.25,1.1,Japan,2024-12-12 02:15:58
TXN-0010246,Robert Gonzalez,Apparel,1408.38,8,11267.04,1.8,India,2024-06-10 00:00:00
TXN-0006198,Sarah Rodriguez,Home & Kitchen,1106.48,2,2212.96,3.9,France,2024-07-25 21:15:55
TXN-0004259,John Davis,Beauty & Personal Care,1079.38,6,6476.28,4.9,Netherlands,2024-03-30 00:00:00
TXN-0002838,Christopher Lopez,Electronics,893.7,7,6255.9,2.8,United Kingdom,2023-11-05 00:00:00
TXN-0000120,Patricia Perez,Beauty & Personal Care,1353.04,6,8118.24,1.2,Brazil,2023-08-03 06:48:10
TXN-0010606,Linda White,Toys & Games,450.4,7,3152.8,2.2,Netherlands,2024-03-17 07:23:32
