transaction_id,customer_name,category,price,quantity,rating,country,created_date,rejection_reason
TXN-0007593,,Books,534.36,6,1.3,France,2023-06-24 06:46:40,MISSING_CUSTOMER_NAME
TXN-0009501,David Thompson,Books,1174.52,6,3.0,United Kingdom,,MISSING_OR_UNPARSEABLE_DATE
TXN-0003704,Michael Lopez,Books,323.27,2,-1.0,United States,2024-03-07 04:03:26,RATING_OUT_OF_BOUNDS
TXN-0002989,Mary Brown,Toys & Games,1256.5,NULL,4.0,Germany,2023-09-12 04:57:37,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0011988,Richard Williams,Apparel,626.87,2,None,Japan,2023-06-23 08:26:03,MISSING_OR_UNPARSEABLE_RATING
TXN-0005316,Jessica Perez,Books,707.08,3,7.2,Japan,2023-07-21 16:26:34,RATING_OUT_OF_BOUNDS
TXN-0009409,,Sports & Outdoors,1292.55,7,2.9,India,2024-10-20 09:21:11,MISSING_CUSTOMER_NAME
TXN-0005526,Linda Jackson,Beauty & Personal Care,None,1,1.1,Germany,2024-06-05 16:54:24,MISSING_OR_UNPARSEABLE_PRICE
TXN-0003384,Lisa Miller,Home & Kitchen,44.02,4,0.0,Japan,2024-05-14 00:52:37,RATING_OUT_OF_BOUNDS
TXN-0003544,Jessica White,Automotive,-14.53,1,1.9,France,2023-10-27 00:50:39,INVALID_PRICE_NON_POSITIVE
TXN-0007348,Elizabeth Perez,Sports & Outdoors,221.46,5,2.7,,2024-11-05 14:13:37,MISSING_OR_INVALID_COUNTRY
TXN-0011541,Jessica Martin,Books,1059.14,8,4.8,France,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0010533,Elizabeth Miller,Electronics,None,6,3.8,United States,2023-12-27 17:51:04,MISSING_OR_UNPARSEABLE_PRICE
TXN-0000702,Charles Wilson,Sports & Outdoors,1461.52,2,NULL,India,2024-07-23 07:18:49,MISSING_OR_UNPARSEABLE_RATING
TXN-0001387,Sarah Martin,Toys & Games,421.24,7,2.2,,2024-11-30 19:02:55,MISSING_OR_INVALID_COUNTRY
TXN-0011205,Daniel Lopez,Books,520.98,4,-1.0,United States,2023-01-09 12:36:27,RATING_OUT_OF_BOUNDS
TXN-0010496,Elizabeth Thompson,Toys & Games,NULL,7,2.1,United Kingdom,2023-04-08 12:13:17,MISSING_OR_UNPARSEABLE_PRICE
TXN-0011129,Charles Perez,Apparel,129.15,3,6.5,Canada,2024-10-15 05:57:56,RATING_OUT_OF_BOUNDS
TXN-0000923,Jessica Smith,Toys & Games,None,5,3.4,Japan,2023-04-29 16:22:27,MISSING_OR_UNPARSEABLE_PRICE
TXN-0001002,John Johnson,Toys & Games,789.83,4,Five,Japan,2023-11-27 22:37:46,MISSING_OR_UNPARSEABLE_RATING
TXN-0010489,,Books,835.88,3,2.6,India,2024-06-20 07:11:35,MISSING_CUSTOMER_NAME
TXN-0005111,Thomas Jones,Books,1360.4,7,1.0,France,,MISSING_OR_UNPARSEABLE_DATE
TXN-0005167,John Anderson,Home & Kitchen,1452.08,8,N/A,Netherlands,2023-12-04 16:58:34,MISSING_OR_UNPARSEABLE_RATING
TXN-0004657,David Garcia,Automotive,672.27,NULL,4.8,France,2023-10-08 11:42:49,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0011675,Mary Smith,Sports & Outdoors,-1320.69,7,3.2,France,2024-11-26 01:54:11,INVALID_PRICE_NON_POSITIVE
TXN-0006162,Daniel Taylor,Electronics,NULL,3,4.9,Germany,2024-08-06 12:20:53,MISSING_OR_UNPARSEABLE_PRICE
TXN-0006032,William Smith,Home & Kitchen,-566.39,2,1.2,United States,2023-03-23 05:05:24,INVALID_PRICE_NON_POSITIVE
TXN-0004763,William Gonzalez,Home & Kitchen,973.02,3,6.5,Japan,2024-12-05 20:35:43,RATING_OUT_OF_BOUNDS
TXN-0012029,Nancy Davis,Apparel,1059.85,4,Five,United Kingdom,2023-11-27 23:05:37,MISSING_OR_UNPARSEABLE_RATING
TXN-0002578,None,Toys & Games,1162.16,4,3.8,Brazil,2023-04-17 04:22:07,MISSING_CUSTOMER_NAME
TXN-0007689,None,Apparel,1457.77,2,3.5,Japan,2024-07-03 05:46:33,MISSING_CUSTOMER_NAME
TXN-0001671,Lisa Johnson,Home & Kitchen,203.78,NULL,2.1,Japan,2023-03-29 11:16:07,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0008889,John Thompson,Home & Kitchen,1458.74,6,Five,United States,2024-07-10 18:05:53,MISSING_OR_UNPARSEABLE_RATING
TXN-0003641,Christopher Moore,Books,1143.63,None,2.6,United Kingdom,2023-12-10 13:52:36,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0008753,Thomas Lee,Apparel,140.52,6,,Netherlands,2024-08-31 08:28:02,MISSING_OR_UNPARSEABLE_RATING
TXN-0002633,Patricia Martinez,Toys & Games,-890.27,5,4.1,Germany,2023-12-10 07:52:45,INVALID_PRICE_NON_POSITIVE
TXN-0010160,Karen Wilson,Electronics,327.44,4,0.0,Canada,2023-01-23 14:04:56,RATING_OUT_OF_BOUNDS
